X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-78.352027,34.9883780000001,23292,"CLINTON, NC",2580,WM Supercenter,Retail,true,1415 SUNSET AVE,CLINTON,SAMPSON,NC,28328-3825,2,Open,,Y,Y,2580,No,Available,No,Available
-76.272331,43.0378220000001,23293,"CAMILLUS, NY",2581,WM Supercenter,Retail,true,5399 W GENESEE ST,CAMILLUS,ONONDAGA,NY,13031-2265,5,Open,,Y,Y,2581,No,Not Available,Yes,Not Available
-74.9212019999999,40.6284810000001,23294,"CLINTON, NJ",2582,Wal-Mart,Retail,true,ROUTE 513 AND I78,CLINTON,HUNTERDON,NJ,08809-0000,2,Open,,Y,Y,2582,No,,No,
-73.578074,40.6958530000001,23295,"UNIONDALE (LI), NY",2583,Wal-Mart,Retail,true,1123 JERUSALEM AVE,UNIONDALE,NASSAU,NY,11553-3004,2,Open,,Y,Y,2583,No,,No,
-84.205036,33.8557430000001,23296,"TUCKER, GA",2584,WM Supercenter,Retail,true,4375 LAWRENCEVILLE HWY,TUCKER,DEKALB,GA,30084-3702,5,Open,,Y,Y,2584,Yes,,Yes,Available
-73.1188319999999,41.2014150000001,23297,"STRATFORD, CT",2585,Wal-Mart,Retail,true,150 BARNUM AVENUE CUTOFF,STRATFORD,FAIRFIELD,CT,06614-5111,2,Open,,Y,Y,2585,No,,Yes,
-78.743309,42.910469,23298,"CHEEKTOWAGA, NY",2586,WM Supercenter,Retail,true,2500 WALDEN AVE,CHEEKTOWAGA,ERIE,NY,14225-4940,5,Open,,Y,Y,2586,No,Not Available,No,Not Available
-92.0407059999999,34.976507,23299,"CABOT, AR",2587,WM Supercenter,Retail,true,304 S ROCKWOOD DR,CABOT,LONOKE,AR,72023-2881,5,Open,,Y,Y,2587,Yes,Available,Yes,Available
-79.824756,40.3873120000001,23300,"NORTH VERSAILLES, PA",2588,WM Supercenter,Retail,true,100 WALMART DR,NORTH VERSAILLES,ALLEGHENY,PA,15137-1535,2,Open,,Y,Y,2588,Yes,Available,Yes,Available
-96.461722,32.902113,23301,ROCKWALL TX.,259,WM Supercenter,Retail,true,782 E INTERSTATE 30,ROCKWALL,ROCKWALL,TX,75087-5503,5,Open,,Y,Y,259,No,Not Available,No,Not Available
-122.898402,45.515768,23302,HILLSBORO OR,2590,Neighborhood Market,Retail,true,7650 NE SHALEEN ST,HILLSBORO,WASHINGTON,OR,97006-6764,2,Open,,Y,Y,2590,No,Available,No,Available
-80.389617,26.0058060000001,23303,"PEMBROKE PINES, FL",2591,WM Supercenter,Retail,true,151 SW 184TH AVE,PEMBROKE PINES,BROWARD,FL,33029-5465,5,Open,,Y,Y,2591,No,Available,Yes,
-115.168118,36.2367310000001,23304,"NORTH LAS VEGAS, NV",2592,WM Supercenter,Retail,true,1807 W CRAIG RD,NORTH LAS VEGAS,CLARK,NV,89032-0217,5,Open,,Y,Y,2592,No,Not Available,Yes,Not Available
-115.124115,36.0230080000001,23305,"LAS VEGAS, (S), NV",2593,WM Supercenter,Retail,true,2310 E SERENE AVE,LAS VEGAS,CLARK,NV,89123-3248,5,Open,,Y,Y,2593,No,,Yes,
-122.252455,47.848617,23306,"LYNNWOOD, WA",2594,Wal-Mart,Retail,true,1400 164TH ST SW,LYNNWOOD,SNOHOMISH,WA,98087-8515,2,Open,,Y,Y,2594,No,,No,
-122.188506,48.078947,23307,MARYSVILLE WA,2595,WM Supercenter,Retail,true,8924 QUILCEDA BLVD,MARYSVILLE,SNOHOMISH,WA,98271-8076,5,Open,,Y,Y,2595,No,Available,Yes,Available
-122.346198,48.4416620000001,23308,"MOUNT VERNON, WA",2596,WM Supercenter,Retail,true,2301 FREEWAY DR,MOUNT VERNON,SKAGIT,WA,98273-5445,5,Open,,Y,Y,2596,Yes,Available,Yes,Available
-79.718049,41.3489450000001,23309,"FRANKLIN, PA",2597,WM Supercenter,Retail,true,10 KIMBERLY LN,CRANBERRY,VENANGO,PA,16319-3134,2,Open,,Y,Y,2597,Yes,Available,Yes,Available
-121.505965,38.6355980000001,23310,"SACRAMENTO, CA",2598,Wal-Mart,Retail,true,3661 TRUXEL RD,SACRAMENTO,SACRAMENTO,CA,95834-3604,2,Open,,Y,Y,2598,No,,No,
-98.596081,29.5645920000001,23311,"SAN ANTONIO (NW), TX",2599,WM Supercenter,Retail,true,5555 DE ZAVALA RD,SAN ANTONIO,BEXAR,TX,78249-1735,5,Open,,Y,Y,2599,No,Available,No,Available
-94.930359,39.2687990000001,23312,LEAVENWORTH KS,26,WM Supercenter,Retail,true,5000 10TH AVE,LEAVENWORTH,LEAVENWORTH,KS,66048-5514,5,Open,,Y,Y,26,Yes,Available,Yes,Available
-96.8378269999999,32.416704,23313,WAXAHACHIE TX.,260,WM Supercenter,Retail,true,1200 N HIGHWAY 77,WAXAHACHIE,ELLIS,TX,75165-5114,5,Open,,Y,Y,260,No,,No,Available
-90.591551,38.6658610000001,23314,"CHESTERFIELD, MO",2600,WM Supercenter,Retail,true,100 THF BLVD,CHESTERFIELD,ST. LOUIS,MO,63005-1123,5,Open,,Y,Y,2600,No,Not Available,Yes,Not Available
-79.9465539999999,40.6231450000001,23315,"GIBSONIA, PA",2603,Wal-Mart,Retail,true,300 WALMART DR,GIBSONIA,ALLEGHENY,PA,15044-9610,2,Open,,Y,Y,2603,No,,Yes,
-74.738846,41.069708,23316,"NEWTON, NJ",2604,Wal-Mart,Retail,true,26 HAMPTON HOUSE RD,NEWTON,SUSSEX,NJ,07860-1409,2,Open,,Y,Y,2604,No,,No,
-82.1718769999999,38.821445,23317,"GALLIPOLIS, OH",2605,WM Supercenter,Retail,true,2145 EASTERN AVE,GALLIPOLIS,GALLIA,OH,45631-1873,2,Open,,Y,Y,2605,No,Available,No,Available
-114.120689,47.6843050000001,23318,"POLSON, MT",2607,WM Supercenter,Retail,true,36318 MEMORY LN,POLSON,LAKE,MT,59860-7265,5,Open,,Y,Y,2607,No,,No,
-105.818752,46.403468,23319,"MILES CITY, MT",2608,WM Supercenter,Retail,true,3205 STOWER ST,MILES CITY,CUSTER,MT,59301-5785,5,Open,,Y,Y,2608,No,,No,Not Available
-118.158622,33.8303750000001,23320,"LAKEWOOD, CA",2609,WM Supercenter,Retail,true,2770 CARSON ST,LAKEWOOD,LOS ANGELES,CA,90712-4004,5,Open,,Y,Y,2609,No,Available,Yes,Available
-93.060749,34.454549,23321,HOT SPRINGS AR.,261,WM Supercenter,Retail,true,4019 CENTRAL AVE,HOT SPRINGS,GARLAND,AR,71913-7208,5,Open,,Y,Y,261,No,Available,No,Available
-82.0443989999999,37.8601140000001,23322,"LOGAN, WV",2610,WM Supercenter,Retail,true,77 NORMAN MORGAN BLVD,LOGAN,LOGAN,WV,25601-3477,2,Open,,Y,Y,2610,Yes,Available,Yes,Available
-79.545057,40.1278520000001,23323,"MT.PLEASANT, PA",2611,WM Supercenter,Retail,true,2100 SUMMIT RIDGE PLZ,MOUNT PLEASANT,WESTMORELAND,PA,15666-1992,2,Open,,Y,Y,2611,Yes,Available,Yes,Available
-106.270881,31.7558750000001,23324,"EL PASO (NE), TX",2612,WM Supercenter,Retail,true,1850 N ZARAGOZA RD,EL PASO,EL PASO,TX,79936-7911,2,Open,,Y,Y,2612,No,Available,Yes,Available
-82.946357,40.810123,23325,"BUCYRUS, OH",2613,WM Supercenter,Retail,true,1875 E MANSFIELD ST,BUCYRUS,CRAWFORD,OH,44820-2075,2,Open,,Y,Y,2613,Yes,Not Available,Yes,Not Available
-75.920373,40.4175910000001,23326,"READING (N), PA",2614,WM Supercenter,Retail,true,5370 ALLENTOWN PIKE,TEMPLE,BERKS,PA,19560-1200,2,Open,,Y,Y,2614,No,Available,No,Available
-83.287605,30.8807630000001,23327,"VALDOSTA (N), GA",2615,WM Supercenter,Retail,true,3274 INNER PERIMETER RD,VALDOSTA,LOWNDES,GA,31602-1073,2,Open,,Y,Y,2615,No,Available,Yes,Available
-90.7026769999999,38.7941040000001,23328,"O`FALLON, MO",2616,WM Supercenter,Retail,true,1307 HIGHWAY K,O FALLON,ST. CHARLES,MO,63366-5978,5,Open,,Y,Y,2616,No,Available,No,Available
-117.745885,40.9533010000001,23329,"WINNEMUCCA, NV",2617,WM Supercenter,Retail,true,3010 POTATO RD,WINNEMUCCA,HUMBOLDT,NV,89445-3665,5,Open,,Y,Y,2617,No,,Yes,Not Available
-83.442934,42.559562,23330,"COMMERCE, MI",2618,WM Supercenter,Retail,true,3301 N PONTIAC TRL,COMMERCE,OAKLAND,MI,48390-2746,5,Open,,Y,Y,2618,No,Available,Yes,Available
-84.238083,43.6615210000001,23331,"MIDLAND, MI",2619,WM Supercenter,Retail,true,910 JOE MANN BLVD,MIDLAND,MIDLAND,MI,48642-8903,5,Open,,Y,Y,2619,No,Available,Yes,Available
-88.9365349999999,38.001016,23332,BENTON IL /WEST CITY.,262,WM Supercenter,Retail,true,919 GIACONE DR,BENTON,FRANKLIN,IL,62812-1639,5,Open,,Y,Y,262,No,,No,Not Available
-85.320463,42.6478760000001,23333,"HASTINGS, MI",2620,WM Supercenter,Retail,true,1618 W M 43 HWY,HASTINGS,BARRY,MI,49058-8376,5,Open,,Y,Y,2620,No,,Yes,
-118.792155,34.282089,23334,"SIMI VALLEY, CA",2621,Wal-Mart,Retail,true,255 COCHRAN ST,SIMI VALLEY,VENTURA,CA,93065-6276,2,Open,,Y,Y,2621,No,,Yes,
-96.910225,32.982646,23337,HW HOME DELIVERY,2625,WM On Campus/RX Facilities,Retail,true,1025 W TRINITY MILLS,CARROLLTON,DALLAS,TX,75006-0000,2,Open,,Y,Y,2625,Yes,Available,Yes,Available
-82.963965,30.324465,23338,"LIVE OAK, FL",2626,WM Supercenter,Retail,true,6868 US HIGHWAY 129,LIVE OAK,SUWANNEE,FL,32060-8476,2,Open,,Y,Y,2626,No,,Yes,
